,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
A,,,,,,,,,,,ppk,,,,,,,,,,,,,
B,,,,,,,,,,,std,,,,,,,,,,,,,
C,,,,,,,,,,,tdcb-ctrl,,,,,,,,,,,,,
D,,,,,,,,,,,mod-1,,,,,,,,,,,,,
E,,,,,,,,,,,mod-1+1,,,,,,,,,,,,,
F,,,,,,,,,,,mod-1+3,,,,,,,,,,,,,
G,,,,,,,,,,,mod-3_ctrl-1,,,,,,,,,,,,,
H,,,,,,,,,,,mod_3_ctrl-2,,,,,,,,,,,,,
I,,,,,,,,,,,mod_3_ctrl-3,,,,,,,,,,,,,
J,,,,,,,,,,,,,,,,,,,,,,,,
K,,,,,,,,,,,,,,,,,,,,,,,,
L,,,,,,,,,,,,,,,,,,,,,,,,
M,,,,,,,,,,,,,,,,,,,,,,,,
N,,,,,,,,,,,,,,,,,,,,,,,,
O,,,,,,,,,,,,,,,,,,,,,,,,
P,,,,,,,,,,,,,,,,,,,,,,,,
